feature,category,dtype,missing_rate,unique_values
LBCD,market,float64,0.8186119873817035,36
LBCA,market,float64,0.8186119873817035,80
HxG,no_odds,float64,0.9652996845425867,42
AxG,no_odds,float64,0.9652996845425867,41
PPH,no_odds,float64,0.9652996845425867,34
PPD,no_odds,float64,0.9652996845425867,19
PPA,no_odds,float64,0.9652996845425867,33
SKBH,no_odds,float64,0.9652996845425867,31
SKBD,no_odds,float64,0.9652996845425867,18
SKBA,no_odds,float64,0.9652996845425867,34
PPCH,no_odds,float64,0.9652996845425867,32
PPCD,no_odds,float64,0.9652996845425867,17
PPCA,no_odds,float64,0.9652996845425867,30
SKBCH,no_odds,float64,0.9652996845425867,34
SKBCD,no_odds,float64,0.9652996845425867,19
SKBCA,no_odds,float64,0.9652996845425867,30
kickoff_utc,no_odds,str,0.0,1107
fixture_id,no_odds,str,0.0,1268
home_team_id,no_odds,str,0.0,26
away_team_id,no_odds,str,0.0,26
edition_id,no_odds,str,0.0,5
rules_version,no_odds,str,0.0,5
home_history_n,no_odds,int64,0.0,141
home_rest_days,no_odds,float64,0.01025236593059937,300
home_points_l5,no_odds,float64,0.01025236593059937,15
home_goals_for_l5,no_odds,float64,0.01025236593059937,31
home_goals_against_l5,no_odds,float64,0.01025236593059937,33
home_goal_diff_l10,no_odds,float64,0.01025236593059937,94
home_clean_sheet_l10,no_odds,float64,0.01025236593059937,26
home_shots_for_ewm10,no_odds,float64,0.01025236593059937,1251
home_shots_against_ewm10,no_odds,float64,0.01025236593059937,1253
home_shot_quality_ewm10,no_odds,float64,0.01025236593059937,1246
away_history_n,no_odds,int64,0.0,141
away_rest_days,no_odds,float64,0.01025236593059937,292
away_points_l5,no_odds,float64,0.01025236593059937,15
away_goals_for_l5,no_odds,float64,0.01025236593059937,36
away_goals_against_l5,no_odds,float64,0.01025236593059937,33
away_goal_diff_l10,no_odds,float64,0.01025236593059937,96
away_clean_sheet_l10,no_odds,float64,0.01025236593059937,25
away_shots_for_ewm10,no_odds,float64,0.01025236593059937,1254
away_shots_against_ewm10,no_odds,float64,0.01025236593059937,1251
away_shot_quality_ewm10,no_odds,float64,0.01025236593059937,1244
Season,excluded,str,0.0,5
HomeTeamPointsLast5,no_odds,float64,0.01025236593059937,15
AwayTeamPointsLast5,no_odds,float64,0.01025236593059937,15
HomeRestDays,no_odds,float64,0.01025236593059937,300
AwayRestDays,no_odds,float64,0.01025236593059937,292
HomeGoalsAve,excluded,float64,0.01025236593059937,31
AwayGoalsAve,excluded,float64,0.01025236593059937,36
feature_timestamp,no_odds,str,0.0,1107
